MarketCode,MarketName,SourceNote
104,台北二,CropMarketType API 無資料，改由農產品交易行情整理
105,台北市場,CropMarketType API 無資料，改由農產品交易行情整理
109,台北一,CropMarketType API 無資料，改由農產品交易行情整理
220,板橋區,CropMarketType API 無資料，改由農產品交易行情整理
241,三重區,CropMarketType API 無資料，改由農產品交易行情整理
260,宜蘭市,CropMarketType API 無資料，改由農產品交易行情整理
338,桃農,CropMarketType API 無資料，改由農產品交易行情整理
400,台中市,CropMarketType API 無資料，改由農產品交易行情整理
420,豐原區,CropMarketType API 無資料，改由農產品交易行情整理
514,溪湖鎮,CropMarketType API 無資料，改由農產品交易行情整理
540,南投市,CropMarketType API 無資料，改由農產品交易行情整理
700,台南市場,CropMarketType API 無資料，改由農產品交易行情整理
800,高雄市,CropMarketType API 無資料，改由農產品交易行情整理
830,鳳山區,CropMarketType API 無資料，改由農產品交易行情整理
900,屏東市,CropMarketType API 無資料，改由農產品交易行情整理
930,台東市,CropMarketType API 無資料，改由農產品交易行情整理
