TransDate,LunarCalendar,TaijinPrice_2.0kgup,TaijinPrice_1.75kg_1.95kg,Store_KP_TaijinPrice,egg_Price,egg_Producer_Price
2026/06/14,廿九,34.3,34.3,35.8,31.5,28.5
2026/06/13,廿八,34.3,34.3,35.8,31.5,28.5
2026/06/12,廿七,34.3,34.3,35.8,31.5,28.5
2026/06/11,廿六,34.3,34.3,35.8,31.5,28.5
2026/06/10,廿五,34.3,34.3,35.8,31.5,28.5
2026/06/09,廿四,34.3,34.3,35.8,31.5,28.5
2026/06/08,廿三,34.3,34.3,35.8,33.5,30.5
2026/06/07,廿二,34.3,34.3,35.8,33.5,30.5
2026/06/06,廿一,34.3,34.3,35.8,33.5,30.5
2026/06/05,芒種,34.3,34.3,35.8,33.5,30.5
2026/06/04,十九,34.3,34.3,35.8,33.5,30.5
2026/06/03,十八,34.3,34.3,35.8,33.5,30.5
2026/06/02,十七,34.3,34.3,35.8,33.5,30.5
2026/06/01,十六,34.3,34.3,35.8,33.5,30.5
2026/05/31,十五,34.3,34.3,35.8,33.5,30.5
2026/05/30,十四,34.3,34.3,35.8,33.5,30.5
2026/05/29,十三,34.3,34.3,35.8,33.5,30.5
2026/05/28,十二,34.3,34.3,35.8,33.5,30.5
2026/05/27,十一,34.3,34.3,35.8,33.5,30.5
2026/05/26,初十,34.3,34.3,35.8,33.5,30.5
