作物名稱,年度,成本檔URL,群組
裡作花胡瓜生產成本調查表_範例,2026,http://agrcost.afa.gov.tw/userfiles/file/1c1f32c7-6cb2-46bc-b283-7b2853d464b7.pdf,填表範例
茶菁生產成本調查表_範例,2026,http://agrcost.afa.gov.tw/userfiles/file/b7e4233b-63f6-4a5a-8745-d8382adec887.pdf,雜糧
茶菁生產成本調查表,2026,http://agrcost.afa.gov.tw/userfiles/file/90f73beb-f4ff-426b-97c7-78386edbea3f.pdf,調查表
作物生產成本調查表,2026,http://agrcost.afa.gov.tw/userfiles/file/b7e437cd-0563-483c-b794-a5937c024359.pdf,調查表
調查員操作手冊_2025,2025,http://agrcost.afa.gov.tw/userfiles/file/0b7308cf-59fe-4739-80e8-99719205bf81.pdf,操作手冊
農會考核準確度的期程調整,2025,http://agrcost.afa.gov.tw/userfiles/file/,全部
農貸利率-114年期(含查詢方式),2025,http://agrcost.afa.gov.tw/userfiles/file/有附件,全部
寄接梨附帶調查填表範例,2025,http://agrcost.afa.gov.tw/userfiles/file/1fe2b82f-860e-4ca3-943d-e8b09512c222.pdf,填表範例
茶菁生產成本調查表,2025,http://agrcost.afa.gov.tw/userfiles/file/7a324b90-d6e0-41e1-9f88-a86a58e301f8.pdf,調查表
香菇生產成本調查表,2025,http://agrcost.afa.gov.tw/userfiles/file/ebb1244d-9d9b-490f-b85b-57ccf3de31c5.pdf,調查表
作物生產成本調查表,2025,http://agrcost.afa.gov.tw/userfiles/file/2b2c1c4b-9066-48f8-b442-7752987ec4eb.pdf,調查表
自家機工攤提,2025,http://agrcost.afa.gov.tw/userfiles/file/有附件,全部
鳳梨,2024,http://agrcost.afa.gov.tw/userfiles/file/a6ae7ec0-f92d-4b25-9afc-0a8dbefd8368.pdf,填表範例
裡作蒜球,2024,http://agrcost.afa.gov.tw/userfiles/file/a6db6921-ad55-43a8-9283-9f5d3c4b9314.pdf,填表範例
裡作甘藷,2024,http://agrcost.afa.gov.tw/userfiles/file/a2370a67-c627-4d57-b2b9-17f72d05d192.pdf,填表範例
茶菁生產成本調查表,2024,http://agrcost.afa.gov.tw/userfiles/file/803f5c61-8214-42dd-9c65-c55e9795dd3a.pdf,調查表
茶菁,2024,http://agrcost.afa.gov.tw/userfiles/file/3b0f5420-f1aa-4102-bb24-6e8a3b27f835.pdf,填表範例
香蕉,2024,http://agrcost.afa.gov.tw/userfiles/file/e7810c66-3727-4173-b877-9d4373efff32.pdf,填表範例
香菇生產成本調查表,2024,http://agrcost.afa.gov.tw/userfiles/file/0a3fa8c1-016e-4cd5-81ee-5c75b2ea09ae.pdf,調查表
作物生產成本調查表,2024,http://agrcost.afa.gov.tw/userfiles/file/6c29bdb4-4fc3-4d7f-bda2-09229647dfe4.pdf,調查表
